bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s6-lte-40mm-vien-nhom-day-cao-su?src=osp,            Apple Watch S6 LTE 40mm viền nhôm dây cao su        ,,,,12.792.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s5-44mm-vien-nhom-day-cao-su?src=osp,            Apple Watch S5 44mm viền nhôm dây cao su        ,,,,9.990.000 VND,,,,,,OLED1.78 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s6-40mm-vien-nhom-day-cao-su?src=osp,            Apple Watch S6 40mm viền nhôm dây cao su        ,,,,10.392.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s6-40mm-vien-nhom-day-cao-su-red?src=osp,            Apple Watch S6 40mm viền nhôm dây cao su        ,,,,10.392.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s5-lte-day-thep?src=osp,            Apple Watch S5 LTE 44mm viền thép dây thép        ,,,,18.392.000 VND,,,,,,OLED1.78 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s5-lte-44mm-day-thep-bac?src=osp,            Apple Watch S5 LTE 44mm viền thép dây thép        ,,,,18.392.000 VND,,,,,,OLED1.78 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s6-lte-44mm-vien-thep-day-thep?src=osp,            Apple Watch S6 LTE 44mm viền thép dây thép        ,,,,18.392.000 VND,,,,,,OLED1.78 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s6-lte-40mm-vien-thep-day-thep?src=osp,            Apple Watch S6 LTE 40mm viền thép dây thép        ,,,,17.592.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/s5-lte-40mm-vien-thep-day-thep-vang?src=osp,            Apple Watch S5 LTE 40mm viền thép dây thép vàng        ,,,,17.592.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s5-lte-40mm-vien-thep-day-thep?src=osp,            Apple Watch S5 LTE 40mm viền thép dây thép        ,,,,17.592.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/s6-lte-40mm-vien-thep-day-thep-den?src=osp,            Apple Watch S6 LTE 40mm viền thép dây thép đen        ,,,,17.592.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/s6-lte-40mm-vien-thep-day-cao-su-den?src=osp,            Apple Watch S6 LTE 40mm viền thép dây cao su đen        ,,,,16.792.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s6-lte-40mm-vien-thep-day-cao-su?src=osp,            Apple Watch S6 LTE 40mm viền thép dây cao su xanh lá        ,,,,16.792.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/s6-lte-44mm-vien-nhom-day-cao-su-xanh?src=osp,            Apple Watch S6 LTE 44mm viền nhôm dây cao su xanh dương        ,,,,13.592.000 VND,,,,,,OLED1.78 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s6-lte-44mm-vien-nhom-day-cao-su?src=osp,            Apple Watch S6 LTE 44mm viền nhôm dây cao su        ,,,,13.592.000 VND,,,,,,OLED1.78 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/s6-lte-40mm-vien-nhom-day-cao-su-den?src=osp,            Apple Watch S6 LTE 40mm viền nhôm dây cao su đen        ,,,,12.792.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s6-lte-40mm-vien-nhom-day-cao-su-red?src=osp,            Apple Watch S6 LTE 40mm viền nhôm dây cao su        ,,,,12.792.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/s6-lte-40mm-vien-nhom-day-cao-su-hong?src=osp,            Apple Watch S6 LTE 40mm viền nhôm dây cao su        ,,,,12.792.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s5-lte?src=osp,            Apple Watch S5 LTE 44mm viền nhôm dây cao su        ,,,,11.192.000 VND,,,,,,OLED1.78 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/s6-44mm-vien-nhom-day-cao-su-hong?src=osp,            Apple Watch S6 44mm viền nhôm dây cao su hồng        ,,,,11.192.000 VND,,,,,,OLED1.78 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s6-lte-40mm-vien-nhom-day-cao-su?src=osp,            Apple Watch S6 LTE 40mm viền nhôm dây cao su        ,,,,12.792.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s5-44mm-vien-nhom-day-cao-su?src=osp,            Apple Watch S5 44mm viền nhôm dây cao su        ,,,,12.990.000 VND,,,,,,OLED1.78 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s6-40mm-vien-nhom-day-cao-su?src=osp,            Apple Watch S6 40mm viền nhôm dây cao su        ,,,,10.392.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s6-40mm-vien-nhom-day-cao-su-red?src=osp,            Apple Watch S6 40mm viền nhôm dây cao su        ,,,,10.392.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s5-lte-day-thep?src=osp,            Apple Watch S5 LTE 44mm viền thép dây thép        ,,,,22.990.000 VND,,,,,,OLED1.78 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s5-lte-44mm-day-thep-bac?src=osp,            Apple Watch S5 LTE 44mm viền thép dây thép        ,,,,18.392.000 VND,,,,,,OLED1.78 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s6-lte-44mm-vien-thep-day-thep?src=osp,            Apple Watch S6 LTE 44mm viền thép dây thép        ,,,,18.392.000 VND,,,,,,OLED1.78 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/s6-lte-44mm-vien-thep-day-cao-su-xanh-duong?src=osp,            Apple Watch S6 LTE 44mm viền thép dây cao su xanh dương        ,,,,17.592.000 VND,,,,,,OLED1.78 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s6-lte-40mm-vien-thep-day-thep?src=osp,            Apple Watch S6 LTE 40mm viền thép dây thép        ,,,,17.592.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/s5-lte-40mm-vien-thep-day-thep-vang?src=osp,            Apple Watch S5 LTE 40mm viền thép dây thép vàng        ,,,,17.592.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s5-lte-40mm-vien-thep-day-thep?src=osp,            Apple Watch S5 LTE 40mm viền thép dây thép        ,,,,17.592.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/s6-lte-40mm-vien-thep-day-thep-den?src=osp,            Apple Watch S6 LTE 40mm viền thép dây thép đen        ,,,,17.592.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/s6-lte-40mm-vien-thep-day-cao-su-den?src=osp,            Apple Watch S6 LTE 40mm viền thép dây cao su đen        ,,,,16.792.000 VND,,,,,,OLED1.57 inch,,,,,,
,,,,,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s6-lte-40mm-vien-thep-day-cao-su?src=osp,            Apple Watch S6 LTE 40mm viền thép dây cao su xanh lá        ,,,,16.792.000 VND,,,,,,OLED1.57 inch,,,,,,
