bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
, Vàng Hồng , Apple A14 Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-air-4-10-9-inch-wifi-64gb-myfp2za-a-vang-hong-2020.html,"
                ", 	iPadOS 14 ,,,16.490.000đ,,,,,,,,,,,,
, Xám , Apple A14 Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-air-4-10-9-inch-wifi-64gb-myfm2za-a-xam-2020.html,"
                ", 	iPadOS 14 ,,,16.490.000đ,,,,,,,,,,,,
, Bạc , A12Z Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-pro-11-inch-wifi-128gb-my252za-a-bac-2020.html,"
                ", iPadOS ,,,20.990.000đ,,,, 128GB ,,,,,,,,
, Xám , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-cellular-32gb-mymh2za-a-xam-2020.html,"
                ", iPadOS 14 ,,,12.990.000đ,,,, 128GB ,,,,,,,,
, Xám , Apple A14 Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-air-4-10-9-inch-wifi-256gb-myft2za-a-xam-2020.html,"
                ", 	iPadOS 14 ,,,20.990.000đ,,,, 128GB ,,,,,,,,
, Xám , A12Z Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-pro-11-inch-wifi-128gb-my232za-a-xam-2020.html,"
                ", iPadOS ,,,20.990.000đ,,,, 128GB ,,,,,,,,
, Bạc , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-cellular-32gb-mymj2za-a-bac-2020.html,"
                ", iPadOS 14 ,,,12.990.000đ,,,, 128GB ,,,,,,,,
, Xám , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-32gb-myl92za-a-xam-2020.html,"
                ", iPadOS 14 ,,,8.990.000đ,,,, 128GB ,,,,,,,,
, Vàng Đồng , A10 Fusion chip ,,,https://www.nguyenkim.com/may-tinh-bang-apple-ipad-10.2-inch-wifi-cellular-32gb-vang-dong.html,"
                ", iPadOS ,,,11.990.000đ,,,, 32 GB ,,,,,,,,
, Xám , A12Z Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-pro-11-inch-wifi-cell-256gb-mxe42za-a-xam-2020.html,"
                ", iPadOS ,,,27.990.000đ,,,, 32 GB ,,,,,,,,
, Vàng , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-32gb-mylc2za-a-vang-2020.html,"
                ", iPadOS 14 ,,,8.990.000đ,,,, 32 GB ,,,,,,,,
, Bạc , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-32gb-myla2za-a-bac-2020.html,"
                ", iPadOS 14 ,,,8.990.000đ,,,, 32 GB ,,,,,,,,
, Xám , A12Z Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-pro-11-inch-wifi-cell-128gb-my2v2za-a-xam-2020.html,      , iPadOS ,,,23.990.000đ,,,,,,,,,,,,
, Bạc , A12Z Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-pro-11-inch-wifi-256gb-mxdd2za-a-bac-2020.html,      , iPadOS ,,,23.490.000đ,,,,,,,,,,,,
, Vàng , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-cellular-32gb-mymk2za-a-vang-2020.html,      , iPadOS 14 ,,,12.990.000đ,,,,,,,,,,,,
, Vàng , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-128gb-mylf2za-a-vang-2020.html,      , iPadOS 14 ,,,11.490.000đ,,,,,,,,,,,,
, Bạc , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-128gb-myle2za-a-bac-2020.html,      , iPadOS 14 ,,,11.490.000đ,,,,,,,,,,,,
, Bạc , Apple A14 Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-air-4-10-9-inch-wifi-64gb-myfn2za-a-bac-2020.html,      , 	iPadOS 14 ,,,16.490.000đ,,,,,,,,,,,,
, Bạc , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-32gb-myla2za-a-bac-2020-vi.html,      , iPadOS 14 ,,,8.990.000đ,,,,,,,,,,,,
, Xám , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-128gb-myld2za-a-xam-2020.html,      , iPadOS 14 ,,,11.490.000đ,,,,,,,,,,,,
, Bạc , A12Z Bionic chip ,,,https://www.nguyenkim.com/may-tinh-bang-apple-ipad-pro-11-inch-wifi-cellular-128gb-bac.html,      , iPadOS ,,,23.990.000đ,,,, 128GB ,,,,,,,,
, Xám , A12Z Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-pro-11-inch-wifi-cell-128gb-my2v2za-a-xam-2020.html,"
                ", iPadOS ,,,23.990.000đ,,,,,,,,,,,,
, Bạc , A12Z Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-pro-11-inch-wifi-256gb-mxdd2za-a-bac-2020.html,"
                ", iPadOS ,,,23.490.000đ,,,,,,,,,,,,
, Vàng , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-cellular-32gb-mymk2za-a-vang-2020.html,"
                ", iPadOS 14 ,,,12.990.000đ,,,,,,,,,,,,
, Vàng , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-128gb-mylf2za-a-vang-2020.html,"
                ", iPadOS 14 ,,,11.490.000đ,,,,,,,,,,,,
, Bạc , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-128gb-myle2za-a-bac-2020.html,"
                ", iPadOS 14 ,,,11.490.000đ,,,,,,,,,,,,
, Bạc , Apple A14 Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-air-4-10-9-inch-wifi-64gb-myfn2za-a-bac-2020.html,"
                ", 	iPadOS 14 ,,,16.490.000đ,,,,,,,,,,,,
, Bạc , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-32gb-myla2za-a-bac-2020-vi.html,"
                ", iPadOS 14 ,,,8.990.000đ,,,,,,,,,,,,
, Xám , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-128gb-myld2za-a-xam-2020.html,"
                ", iPadOS 14 ,,,11.490.000đ,,,,,,,,,,,,
, Bạc , A12Z Bionic chip ,,,https://www.nguyenkim.com/may-tinh-bang-apple-ipad-pro-11-inch-wifi-cellular-128gb-bac.html,"
                ", iPadOS ,,,23.990.000đ,,,, 128GB ,,,,,,,,
, Vàng Hồng , Apple A14 Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-air-4-10-9-inch-wifi-64gb-myfp2za-a-vang-hong-2020.html,"
                ", 	iPadOS 14 ,,,16.490.000đ,,,,,,,,,,,,
, Xám , Apple A14 Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-air-4-10-9-inch-wifi-64gb-myfm2za-a-xam-2020.html,"
                ", 	iPadOS 14 ,,,16.490.000đ,,,,,,,,,,,,
, Bạc , A12Z Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-pro-11-inch-wifi-128gb-my252za-a-bac-2020.html,"
                ", iPadOS ,,,20.990.000đ,,,, 128GB ,,,,,,,,
, Xám , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-cellular-32gb-mymh2za-a-xam-2020.html,"
                ", iPadOS 14 ,,,12.990.000đ,,,, 128GB ,,,,,,,,
, Xám , Apple A14 Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-air-4-10-9-inch-wifi-256gb-myft2za-a-xam-2020.html,"
                ", 	iPadOS 14 ,,,20.990.000đ,,,, 128GB ,,,,,,,,
, Xám , A12Z Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-pro-11-inch-wifi-128gb-my232za-a-xam-2020.html,"
                ", iPadOS ,,,20.990.000đ,,,, 128GB ,,,,,,,,
, Bạc , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-cellular-32gb-mymj2za-a-bac-2020.html,"
                ", iPadOS 14 ,,,12.990.000đ,,,, 128GB ,,,,,,,,
, Xám , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-32gb-myl92za-a-xam-2020.html,"
                ", iPadOS 14 ,,,8.990.000đ,,,, 128GB ,,,,,,,,
, Vàng Đồng , A10 Fusion chip ,,,https://www.nguyenkim.com/may-tinh-bang-apple-ipad-10.2-inch-wifi-cellular-32gb-vang-dong.html,"
                ", iPadOS ,,,11.990.000đ,,,, 32 GB ,,,,,,,,
, Xám , A12Z Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-pro-11-inch-wifi-cell-256gb-mxe42za-a-xam-2020.html,"
                ", iPadOS ,,,27.990.000đ,,,, 32 GB ,,,,,,,,
, Vàng , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-32gb-mylc2za-a-vang-2020.html,"
                ", iPadOS 14 ,,,8.990.000đ,,,, 32 GB ,,,,,,,,
, Bạc , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-32gb-myla2za-a-bac-2020.html,"
                ", iPadOS 14 ,,,8.990.000đ,,,, 32 GB ,,,,,,,,
, Xám , A12Z Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-pro-11-inch-wifi-cell-128gb-my2v2za-a-xam-2020.html,      , iPadOS ,,,23.990.000đ,,,,,,,,,,,,
, Bạc , A12Z Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-pro-11-inch-wifi-256gb-mxdd2za-a-bac-2020.html,      , iPadOS ,,,23.490.000đ,,,,,,,,,,,,
, Vàng , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-cellular-32gb-mymk2za-a-vang-2020.html,      , iPadOS 14 ,,,12.990.000đ,,,,,,,,,,,,
, Vàng , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-128gb-mylf2za-a-vang-2020.html,      , iPadOS 14 ,,,11.490.000đ,,,,,,,,,,,,
, Bạc , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-128gb-myle2za-a-bac-2020.html,      , iPadOS 14 ,,,11.490.000đ,,,,,,,,,,,,
, Bạc , Apple A14 Bionic ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-air-4-10-9-inch-wifi-64gb-myfn2za-a-bac-2020.html,      , 	iPadOS 14 ,,,16.490.000đ,,,,,,,,,,,,
, Bạc , A12 Bionic (7 nm) ,,,https://www.nguyenkim.com/may-tinh-bang-ipad-10.2-inch-wifi-32gb-myla2za-a-bac-2020-vi.html,      , iPadOS 14 ,,,8.990.000đ,,,,,,,,,,,,
