,,,,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-m1-11-inch-wifi-128gb-2021?src=osp,            iPad Pro M1 11 inch WiFi 128GB (2021)        ,,,,21.990.000₫,8 GB,"            ChÃ­nh 12 MP & Phá»¥ 10 MP, TOF 3D LiDAR        ",,,,,,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-11-inch-2020?src=osp,            iPad Pro 11 inch Wifi 128GB (2020)        ,iPadOS 14,,,21.190.000₫,6 GB,"Chính 12 MP & Phụ 10 MP, TOF 3D LiDAR",,128 GB,,"11""Liquid Retina",,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-air-4-wifi-256gb-2020?src=osp,            iPad Air 4 Wifi 256GB (2020)        ,iPadOS 14,,,20.690.000₫,4 GB,12 MP,,256 GB,,"10.9""Liquid Retina",,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-air-4-wifi-cellular-64gb-2020?src=osp,            iPad Air 4 Wifi Cellular 64GB (2020)        ,iPadOS 14,,,20.190.000₫,4 GB,12 MP,,64 GB,,"10.9""Liquid Retina",1 Nano SIM hoặc 1 eSIM,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-mini-79-inch-wifi-cellular-64gb-2019?src=osp,            iPad Mini 7.9 inch 64GB (2019) Wifi Cellular        ,iPadOS 14,,,13.990.000₫,3 GB,8 MP,,64 GB,,"7.9""LED-backlit IPS LCD",1 Nano SIM & 1 eSIM,,,,,
,,,1.2 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-8-wifi-cellular-32gb-2020?src=osp,            iPad 8 Wifi Cellular 32GB (2020)        ,iPadOS 14,,,13.190.000₫,3 GB,8 MP,,32 GB,,"10.2""Retina IPS LCD",1 Nano SIM hoặc 1 eSIM,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-mini-79-inch-wifi-2019?src=osp,            iPad Mini 7.9 inch 64GB (2019) Wifi        ,iPadOS 14,,,9.990.000₫,3 GB,8 MP,,64 GB,,"7.9""LED-backlit IPS LCD",,,,,,
,,,1.2 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-8-wifi-32gb-2020?src=osp,            iPad 8 Wifi 32GB (2020)        ,iPadOS 14,,,9.190.000₫,3 GB,8 MP,,32 GB,,"10.2""Retina IPS LCD",,,,,,
bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-air-4-wifi-64gb-2020?src=osp,            iPad Air 4 Wifi 64GB (2020)        ,iPadOS 14,,,16.190.000₫,4 GB,12 MP,,64 GB,,"10.9""Liquid Retina",,,,,,
,,,,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-cellular-256gb-2021?src=osp,            iPad Pro M1 12.9 inch WiFi Cellular 256GB (2021)        ,,,,Dự kiến: 37.990.000₫,8 GB,"            ChÃ­nh 12 MP & Phá»¥ 10 MP, TOF 3D LiDAR        ",,,,,,,,,,
,,,,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-cellular-128gb-2021?src=osp,            iPad Pro M1 12.9 inch WiFi Cellular 128GB (2021)        ,,,,Dự kiến: 33.990.000₫,8 GB,"            ChÃ­nh 12 MP & Phá»¥ 10 MP, TOF 3D LiDAR        ",,,,,,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-12-9-inch-wifi-cellular-128gb-2020?src=osp,            iPad Pro 12.9 inch Wifi Cellular 128GB (2020)        ,iPadOS 14,,,31.190.000₫,6 GB,"Chính 12 MP & Phụ 10 MP, TOF 3D LiDAR",,128 GB,,"12.9""Liquid Retina",1 Nano SIM hoặc 1 eSIM,,,,,
,,,,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-128gb-2021?src=osp,            iPad Pro M1 12.9 inch WiFi 128GB (2021)        ,,,,Dự kiến: 29.990.000₫,8 GB,"            ChÃ­nh 12 MP & Phá»¥ 10 MP, TOF 3D LiDAR        ",,,,,,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-12-9-inch-wifi-128gb-2020?src=osp,            iPad Pro 12.9 inch Wifi 128GB (2020)        ,iPadOS 14,,,27.990.000₫,6 GB,"Chính 12 MP & Phụ 10 MP, TOF 3D LiDAR",,128 GB,,"12.9""Liquid Retina",,,,,,
,,,,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-m1-11-inch-wifi-cellular-128gb-2021?src=osp,            iPad Pro M1 11 inch WiFi Cellular 128GB (2021)        ,,,,Dự kiến: 25.990.000₫,8 GB,"            ChÃ­nh 12 MP & Phá»¥ 10 MP, TOF 3D LiDAR        ",,,,,,,,,,
,,,,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-m1-11-inch-wifi-256gb-2021?src=osp,            iPad Pro M1 11 inch WiFi 256GB (2021)        ,,,,Dự kiến: 25.990.000₫,8 GB,"            ChÃ­nh 12 MP & Phá»¥ 10 MP, TOF 3D LiDAR        ",,,,,,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-11-inch-wifi-cellular-128gb-2020?src=osp,            iPad Pro 11 inch Wifi Cellular 128GB (2020)        ,iPadOS 14,,,25.190.000₫,6 GB,"Chính 12 MP & Phụ 10 MP, TOF 3D LiDAR",,128 GB,,"11""Liquid Retina",1 Nano SIM hoặc 1 eSIM,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-air-4-wifi-cellular-256gb-2020?src=osp,            iPad Air 4 Wifi Cellular 256GB (2020)        ,iPadOS 14,,,24.190.000₫,4 GB,12 MP,,256 GB,,"10.9""Liquid Retina",1 Nano SIM hoặc 1 eSIM,,,,,
,,,,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-m1-11-inch-wifi-128gb-2021?src=osp,            iPad Pro M1 11 inch WiFi 128GB (2021)        ,,,,21.990.000₫,8 GB,"            ChÃ­nh 12 MP & Phá»¥ 10 MP, TOF 3D LiDAR        ",,,,,,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-11-inch-2020?src=osp,            iPad Pro 11 inch Wifi 128GB (2020)        ,iPadOS 14,,,21.190.000₫,6 GB,"Chính 12 MP & Phụ 10 MP, TOF 3D LiDAR",,128 GB,,"11""Liquid Retina",,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-air-4-wifi-256gb-2020?src=osp,            iPad Air 4 Wifi 256GB (2020)        ,iPadOS 14,,,20.690.000₫,4 GB,12 MP,,256 GB,,"10.9""Liquid Retina",,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-air-4-wifi-cellular-64gb-2020?src=osp,            iPad Air 4 Wifi Cellular 64GB (2020)        ,iPadOS 14,,,20.190.000₫,4 GB,12 MP,,64 GB,,"10.9""Liquid Retina",1 Nano SIM hoặc 1 eSIM,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-mini-79-inch-wifi-cellular-64gb-2019?src=osp,            iPad Mini 7.9 inch 64GB (2019) Wifi Cellular        ,iPadOS 14,,,13.990.000₫,3 GB,8 MP,,64 GB,,"7.9""LED-backlit IPS LCD",1 Nano SIM & 1 eSIM,,,,,
,,,1.2 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-8-wifi-cellular-32gb-2020?src=osp,            iPad 8 Wifi Cellular 32GB (2020)        ,iPadOS 14,,,13.190.000₫,3 GB,8 MP,,32 GB,,"10.2""Retina IPS LCD",1 Nano SIM hoặc 1 eSIM,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-mini-79-inch-wifi-2019?src=osp,            iPad Mini 7.9 inch 64GB (2019) Wifi        ,iPadOS 14,,,9.990.000₫,3 GB,8 MP,,64 GB,,"7.9""LED-backlit IPS LCD",,,,,,
,,,1.2 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-8-wifi-32gb-2020?src=osp,            iPad 8 Wifi 32GB (2020)        ,iPadOS 14,,,9.190.000₫,3 GB,8 MP,,32 GB,,"10.2""Retina IPS LCD",,,,,,
bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-air-4-wifi-64gb-2020?src=osp,            iPad Air 4 Wifi 64GB (2020)        ,iPadOS 14,,,16.190.000₫,4 GB,12 MP,,64 GB,,"10.9""Liquid Retina",,,,,,
,,,,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-cellular-256gb-2021?src=osp,            iPad Pro M1 12.9 inch WiFi Cellular 256GB (2021)        ,,,,Dự kiến: 37.990.000₫,8 GB,"            ChÃ­nh 12 MP & Phá»¥ 10 MP, TOF 3D LiDAR        ",,,,,,,,,,
,,,,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-cellular-128gb-2021?src=osp,            iPad Pro M1 12.9 inch WiFi Cellular 128GB (2021)        ,,,,Dự kiến: 33.990.000₫,8 GB,"            ChÃ­nh 12 MP & Phá»¥ 10 MP, TOF 3D LiDAR        ",,,,,,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-12-9-inch-wifi-cellular-128gb-2020?src=osp,            iPad Pro 12.9 inch Wifi Cellular 128GB (2020)        ,iPadOS 14,,,31.190.000₫,6 GB,"Chính 12 MP & Phụ 10 MP, TOF 3D LiDAR",,128 GB,,"12.9""Liquid Retina",1 Nano SIM hoặc 1 eSIM,,,,,
,,,,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-128gb-2021?src=osp,            iPad Pro M1 12.9 inch WiFi 128GB (2021)        ,,,,Dự kiến: 29.990.000₫,8 GB,"            ChÃ­nh 12 MP & Phá»¥ 10 MP, TOF 3D LiDAR        ",,,,,,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-12-9-inch-wifi-128gb-2020?src=osp,            iPad Pro 12.9 inch Wifi 128GB (2020)        ,iPadOS 14,,,27.990.000₫,6 GB,"Chính 12 MP & Phụ 10 MP, TOF 3D LiDAR",,128 GB,,"12.9""Liquid Retina",,,,,,
,,,,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-m1-11-inch-wifi-cellular-128gb-2021?src=osp,            iPad Pro M1 11 inch WiFi Cellular 128GB (2021)        ,,,,Dự kiến: 25.990.000₫,8 GB,"            ChÃ­nh 12 MP & Phá»¥ 10 MP, TOF 3D LiDAR        ",,,,,,,,,,
,,,,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-m1-11-inch-wifi-256gb-2021?src=osp,            iPad Pro M1 11 inch WiFi 256GB (2021)        ,,,,Dự kiến: 25.990.000₫,8 GB,"            ChÃ­nh 12 MP & Phá»¥ 10 MP, TOF 3D LiDAR        ",,,,,,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-11-inch-wifi-cellular-128gb-2020?src=osp,            iPad Pro 11 inch Wifi Cellular 128GB (2020)        ,iPadOS 14,,,25.190.000₫,6 GB,"Chính 12 MP & Phụ 10 MP, TOF 3D LiDAR",,128 GB,,"11""Liquid Retina",1 Nano SIM hoặc 1 eSIM,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-air-4-wifi-cellular-256gb-2020?src=osp,            iPad Air 4 Wifi Cellular 256GB (2020)        ,iPadOS 14,,,24.190.000₫,4 GB,12 MP,,256 GB,,"10.9""Liquid Retina",1 Nano SIM hoặc 1 eSIM,,,,,
,,,,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-m1-11-inch-wifi-128gb-2021?src=osp,            iPad Pro M1 11 inch WiFi 128GB (2021)        ,,,,21.990.000₫,8 GB,"            ChÃ­nh 12 MP & Phá»¥ 10 MP, TOF 3D LiDAR        ",,,,,,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-pro-11-inch-2020?src=osp,            iPad Pro 11 inch Wifi 128GB (2020)        ,iPadOS 14,,,21.190.000₫,6 GB,"Chính 12 MP & Phụ 10 MP, TOF 3D LiDAR",,128 GB,,"11""Liquid Retina",,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-air-4-wifi-256gb-2020?src=osp,            iPad Air 4 Wifi 256GB (2020)        ,iPadOS 14,,,20.690.000₫,4 GB,12 MP,,256 GB,,"10.9""Liquid Retina",,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-air-4-wifi-cellular-64gb-2020?src=osp,            iPad Air 4 Wifi Cellular 64GB (2020)        ,iPadOS 14,,,20.190.000₫,4 GB,12 MP,,64 GB,,"10.9""Liquid Retina",1 Nano SIM hoặc 1 eSIM,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-mini-79-inch-wifi-cellular-64gb-2019?src=osp,            iPad Mini 7.9 inch 64GB (2019) Wifi Cellular        ,iPadOS 14,,,13.990.000₫,3 GB,8 MP,,64 GB,,"7.9""LED-backlit IPS LCD",1 Nano SIM & 1 eSIM,,,,,
,,,1.2 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-8-wifi-cellular-32gb-2020?src=osp,            iPad 8 Wifi Cellular 32GB (2020)        ,iPadOS 14,,,13.190.000₫,3 GB,8 MP,,32 GB,,"10.2""Retina IPS LCD",1 Nano SIM hoặc 1 eSIM,,,,,
,,,7 MP,,https://www.dienmayxanh.com/may-tinh-bang/ipad-mini-79-inch-wifi-2019?src=osp,            iPad Mini 7.9 inch 64GB (2019) Wifi        ,iPadOS 14,,,9.990.000₫,3 GB,8 MP,,64 GB,,"7.9""LED-backlit IPS LCD",,,,,,
