bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-64gb-chinh-hang-vn-a-fullbox/,Apple iPhone 12 64GB Chính Hãng VN/A Fullbox,,,,"20,190,000 VNĐ",,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",1170 x 2532,64 GB,6.1 inches,,,,,,,
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-64gb-quoc-te-moi-tran/,Apple iPhone 12 64GB Quốc Tế Mới Trần,,,,"19,990,000 VNĐ",,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",1170 x 2532,64 GB,6.1 inches,,,,,,,
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-64gb-quoc-te-2sim-fullbox-za/,Apple iPhone 12 64GB Quốc Tế 2Sim Fullbox ZA,,,,"21,190,000 VNĐ",,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",1170 x 2532,64 GB,6.1 inches,,,,,,,
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-64gb-quoc-te-fullbox-ll-a/,Apple iPhone 12 64GB Quốc Tế Fullbox LL/A,,,,"19,990,000 VNĐ",,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",1170 x 2532,64 GB,6.1 inches,,,,,,,
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-lock-64gb-moi-fullbox/,Apple iPhone 12 Lock 64GB Mới FullBox,,,,"16,890,000 VNĐ",,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",1170 x 2532,64 GB,6.1 inches,,,,,,,
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-128gb-quoc-te-moi-tran/,Apple iPhone 12 128GB Quốc tế Mới Trần,,,,"19,790,000 VNĐ",,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",1170 x 2532,64 GB,6.1 inches,,,,,,,
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-128gb-quoc-te-fullbox-ll-a/,Apple iPhone 12 128GB Quốc Tế Fullbox LL/A,,,,"21,590,000 VNĐ",,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",1170 x 2532,64 GB,6.1 inches,,,,,,,
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-128gb-chinh-hang-vn-a/,Apple iPhone 12 128GB Chính Hãng VN/A,,,,"21,090,000 VNĐ",,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",1170 x 2532,64 GB,6.1 inches,,,,,,,
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-128gb-quoc-te-fullbox-da-active/,Apple iPhone 12 128GB Quốc Tế Fullbox Đã Active,,,,"20,990,000 VNĐ",,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",1170 x 2532,128 GB,6.1 inches,,,,,,,
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-128gb-quoc-te-2sim-fullbox-za/,Apple iPhone 12 128GB Quốc Tế 2Sim Fullbox ZA,,,,"22,390,000 VNĐ",,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",1170 x 2532,128 GB,6.1 inches,,,,,,,
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-lock-128gb-moi-fullbox/,Apple iPhone 12 Lock 128GB Mới FullBox,,,,"17,990,000 VNĐ",,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",1170 x 2532,64 GB,6.1 inches,,,,,,,
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-pro-max-128gb-quoc-te-moi-tran/,Apple iPhone 12 Pro Max 128GB Quốc Tế Mới Trần,,,,"26,690,000 VNĐ",,Triple 12MP + 12MP + 12MP,1284 x 2778,128 GB,6.7 inch,,,,,,,
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-pro-max-lock-128gb-moi/,Apple iPhone 12 Pro Max Lock 128GB Mới,,,,"24,490,000 VNĐ",,Triple 12MP + 12MP + 12MP,1284 x 2778,128 GB,6.7 inch,,,,,,,
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-pro-max-128gb-chinh-hang-vn-a-fullbox/,Apple iPhone 12 Pro Max 128GB Chính Hãng VN/A Fullbox,,,,"29,190,000 VNĐ",,Triple 12MP + 12MP + 12MP,1284 x 2778,128 GB,6.7 inch,,,,,,,
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-pro-max-128gb-quoc-te-fullbox/,Apple iPhone 12 Pro Max 128GB Quốc Tế Fullbox,,,,"26,290,000 VNĐ",,Triple 12MP + 12MP + 12MP,1284 x 2778,128 GB,6.7 inch,,,,,,,
,,A14 Bionic chip,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D",,https://hcm.clickbuy.com.vn/apple-iphone-12-pro-max-128gb-quoc-te-fullbox-za/,Apple iPhone 12 Pro Max 128GB Quốc Tế Fullbox ZA,,,,"28,690,000 VNĐ",,Triple 12MP + 12MP + 12MP,1284 x 2778,128 GB,6.7 inch,,,,,,,
,,Apple A12 Bionic 6 nhân,7.0 MP,,https://hcm.clickbuy.com.vn/apple-iphone-xs-64gb-likenw/,Apple iPhone Xs 64GB Likenew,,,,"9,190,000 VNĐ",4 GB,12 MP,1125 x 2436 pixels,64 GB,5.8 inches,,,,,,,
,,Apple A12 Bionic 6 nhân,7.0 MP,,https://hcm.clickbuy.com.vn/apple-iphone-xs-64gb-moi-tran/,Apple iPhone Xs 64GB Mới Trần,,,,"11,190,000 VNĐ",4 GB,12 MP,1125 x 2436 pixels,64 GB,5.8 inches,,,,,,,
,,Apple A12 Bionic 6 nhân,7.0 MP,,https://hcm.clickbuy.com.vn/apple-iphone-xs-64gb-moi-tran-vn-a/,Apple iPhone Xs 64GB Mới Trần VN/A,,,,"11,690,000 VNĐ",4 GB,12 MP,1125 x 2436 pixels,64 GB,5.8 inches,,,,,,,
,,Apple A12 Bionic 6 nhân,7.0 MP,,https://hcm.clickbuy.com.vn/apple-iphone-xs-lock-64gb-likenew/,Apple iPhone Xs Lock 64GB Likenew,,,,"8,990,000 VNĐ",4 GB,12 MP,1125 x 2436 pixels,64 GB,5.8 inches,,,,,,,
